status,package,source_folder,display_name,batch,source_path,processed_path,backup_path,replacement_format
done,actors-artists,gemini,eduardo paolozzi,batch_0003,actors-artists/gemini/eduardo paolozzi,photoroom_processed/actors-artists/gemini/eduardo paolozzi.png,photoroom_original_backups/batch_0003/actors-artists/gemini/eduardo paolozzi,.png
done,actors-artists,gemini,edward weston,batch_0003,actors-artists/gemini/edward weston,photoroom_processed/actors-artists/gemini/edward weston.png,photoroom_original_backups/batch_0003/actors-artists/gemini/edward weston,.png
done,actors-artists,gemini,etel adnan,batch_0003,actors-artists/gemini/etel adnan,photoroom_processed/actors-artists/gemini/etel adnan.png,photoroom_original_backups/batch_0003/actors-artists/gemini/etel adnan,.png
done,actors-artists,gemini,francis bacon,batch_0003,actors-artists/gemini/francis bacon,photoroom_processed/actors-artists/gemini/francis bacon.png,photoroom_original_backups/batch_0003/actors-artists/gemini/francis bacon,.png
done,actors-artists,gemini,frank stella,batch_0003,actors-artists/gemini/frank stella,photoroom_processed/actors-artists/gemini/frank stella.png,photoroom_original_backups/batch_0003/actors-artists/gemini/frank stella,.png
done,actors-artists,gemini,frida kahlo,batch_0003,actors-artists/gemini/frida kahlo,photoroom_processed/actors-artists/gemini/frida kahlo.png,photoroom_original_backups/batch_0003/actors-artists/gemini/frida kahlo,.png
done,actors-artists,gemini,george condo,batch_0003,actors-artists/gemini/george condo,photoroom_processed/actors-artists/gemini/george condo.png,photoroom_original_backups/batch_0003/actors-artists/gemini/george condo,.png
done,actors-artists,gemini,gilbert george,batch_0003,actors-artists/gemini/gilbert george,photoroom_processed/actors-artists/gemini/gilbert george.png,photoroom_original_backups/batch_0003/actors-artists/gemini/gilbert george,.png
done,actors-artists,gemini,giorgio de chirico,batch_0003,actors-artists/gemini/giorgio de chirico,photoroom_processed/actors-artists/gemini/giorgio de chirico.png,photoroom_original_backups/batch_0003/actors-artists/gemini/giorgio de chirico,.png
done,actors-artists,gemini,hans holbein the younger,batch_0003,actors-artists/gemini/hans holbein the younger,photoroom_processed/actors-artists/gemini/hans holbein the younger.png,photoroom_original_backups/batch_0003/actors-artists/gemini/hans holbein the younger,.png
done,actors-artists,gemini,helen frankenthaler,batch_0003,actors-artists/gemini/helen frankenthaler,photoroom_processed/actors-artists/gemini/helen frankenthaler.png,photoroom_original_backups/batch_0003/actors-artists/gemini/helen frankenthaler,.png
done,actors-artists,gemini,helmut newton,batch_0003,actors-artists/gemini/helmut newton,photoroom_processed/actors-artists/gemini/helmut newton.png,photoroom_original_backups/batch_0003/actors-artists/gemini/helmut newton,.png
done,actors-artists,gemini,henry moore,batch_0003,actors-artists/gemini/henry moore,photoroom_processed/actors-artists/gemini/henry moore.png,photoroom_original_backups/batch_0003/actors-artists/gemini/henry moore,.png
done,actors-artists,gemini,irving penn,batch_0003,actors-artists/gemini/irving penn,photoroom_processed/actors-artists/gemini/irving penn.png,photoroom_original_backups/batch_0003/actors-artists/gemini/irving penn,.png
